Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# Protein Groups,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Modifications
Q810W9,Whirlin OS=Rattus norvegicus OX=10116 GN=Whrn PE=1 SV=1,4,2,3,2,1,920,98.3,7.81,5.62,2,Oxidation [P706; P710; P717; P718]
Q5PQQ7,LIX1-like protein OS=Rattus norvegicus OX=10116 GN=Lix1l PE=2 SV=1,10,2,3,2,1,338,36.6,8.56,5.61,2,Oxidation [P42; P43; P44; P54; P55]
Q9Z2Q1,Protein transport protein Sec31A OS=Rattus norvegicus OX=10116 GN=Sec31a PE=1 SV=2,4,2,3,2,1,1249,135.2,7.09,5.61,2,Oxidation [P1117; P1120]
Q62688,Inactive phospholipase C-like protein 1 OS=Rattus norvegicus OX=10116 GN=Plcl1 PE=1 SV=1,2,3,3,2,1,1096,122.7,5.66,5.51,3,Oxidation [P392]
D3ZZL9,GRIP and coiled-coil domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Gcc2 PE=1 SV=1,2,3,3,3,1,1679,195,5.1,5.51,3,
Q7M6Z5,Kinesin-like protein KIF27 OS=Rattus norvegicus OX=10116 GN=Kif27 PE=1 SV=1,2,3,3,2,1,1394,158.8,7.12,5.49,3,
Q9R172,Neurogenic locus notch homolog protein 3 OS=Rattus norvegicus OX=10116 GN=Notch3 PE=2 SV=2,1,3,3,3,1,2319,244.1,5.36,5.42,3,Oxidation [P686; P687; P691; P2259; P2261]
Q9JIL3,Interleukin enhancer-binding factor 3 OS=Rattus norvegicus OX=10116 GN=Ilf3 PE=1 SV=2,4,3,3,3,1,897,95.9,8.75,5.42,3,Oxidation [P69]
P10716,C-type lectin domain family 4 member F OS=Rattus norvegicus OX=10116 GN=Clec4f PE=1 SV=1,4,2,3,2,1,550,61.1,6.92,5.39,2,
Q5RK27,Solute carrier family 12 member 7 OS=Rattus norvegicus OX=10116 GN=Slc12a7 PE=2 SV=2,5,2,3,2,1,1083,119.3,6.58,5.37,2,Oxidation [P31; P36]
P49620,Diacylglycerol kinase gamma OS=Rattus norvegicus OX=10116 GN=Dgkg PE=1 SV=1,4,2,3,2,1,788,88.5,6.95,5.35,2,Oxidation [P742; P749; P753; P754]
P12368,cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Rattus norvegicus OX=10116 GN=Prkar2a PE=1 SV=4,12,2,3,2,1,401,45.5,4.93,5.28,2,Oxidation [P67; K269]
Q6P9Z6,Tumor-associated calcium signal transducer 2 OS=Rattus norvegicus OX=10116 GN=Tacstd2 PE=2 SV=1,5,2,3,2,1,317,35.5,8.6,5.2,2,Oxidation [P259; P260]
Q4FZU8,Rho family-interacting cell polarization regulator 1 OS=Rattus norvegicus OX=10116 GN=Ripor1 PE=1 SV=2,3,3,3,3,1,1217,131.6,5.78,5.18,3,Oxidation [K98; P759; P761]
B1WBU8,Pleckstrin homology domain-containing family D member 1 OS=Rattus norvegicus OX=10116 GN=Plekhd1 PE=2 SV=1,6,2,3,2,1,505,59,6.32,5.15,2,Oxidation [K209; K216; K452]
P54282,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS=Rattus norvegicus OX=10116 GN=Cacna1a PE=1 SV=1,3,2,3,2,1,2212,251.4,8.56,5.1,2,Oxidation [P271; P273; P1953; P1959; P1965]
Q1LZ53,DNA (cytosine-5)-methyltransferase 3A OS=Rattus norvegicus OX=10116 GN=Dnmt3a PE=1 SV=1,7,2,3,2,1,908,101.6,6.65,5.05,2,Oxidation [P121; P122; P249]
Q8CFD1,RNA-binding protein 45 OS=Rattus norvegicus OX=10116 GN=Rbm45 PE=1 SV=1,6,2,3,2,1,476,53.4,7.28,5.01,2,Oxidation [K334]
Q62868,Rho-associated protein kinase 2 OS=Rattus norvegicus OX=10116 GN=Rock2 PE=1 SV=2,3,2,3,2,1,1388,160.3,5.92,5.01,2,Oxidation [P11; P14]
P11497,Acetyl-CoA carboxylase 1 OS=Rattus norvegicus OX=10116 GN=Acaca PE=1 SV=1,2,2,3,2,1,2345,265,6.39,4.93,2,Oxidation [P231; P232; P498; P500]
P62494,Ras-related protein Rab-11A OS=Rattus norvegicus OX=10116 GN=Rab11a PE=1 SV=3,19,2,3,2,1,216,24.4,6.57,4.84,2,Oxidation [P197; P201; P202; K207; K209]
Q5M7A7,CB1 cannabinoid receptor-interacting protein 1 OS=Rattus norvegicus OX=10116 GN=Cnrip1 PE=1 SV=1,20,2,3,2,1,164,18.6,7.85,4.81,2,Oxidation [P104; P110]
Q6P6T1,Complement C1s subcomponent OS=Rattus norvegicus OX=10116 GN=C1s PE=2 SV=2,6,2,3,2,1,688,77,4.77,4.77,2,Oxidation [P356; P543]
Q5PQQ5,"LETM1 domain-containing protein LETM2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Letm2 PE=2 SV=1",6,2,3,2,1,459,52.5,9.35,4.75,2,Oxidation [P92; P96; P431; P433]
Q6AY70,KAT8 regulatory NSL complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Kansl2 PE=1 SV=2,6,2,3,2,1,488,54.3,6.92,4.75,2,Oxidation [K348; P349]
O54728,"Phospholipase B1, membrane-associated OS=Rattus norvegicus OX=10116 GN=Plb1 PE=1 SV=1",2,2,3,2,1,1450,161,6.6,4.71,2,Oxidation [P84; P85; K1030; K1037]
Q62897,Potassium voltage-gated channel subfamily D member 3 OS=Rattus norvegicus OX=10116 GN=Kcnd3 PE=1 SV=2,5,2,3,2,1,655,73.5,8.25,4.64,2,Oxidation [P21; P460]
Q9JIR3,Regulating synaptic membrane exocytosis protein 3 OS=Rattus norvegicus OX=10116 GN=Rims3 PE=1 SV=1,13,2,3,2,1,307,32.6,9.29,4.61,2,Oxidation [P6; P8]
Q5EXX3,Zinc finger and BTB domain-containing protein 38 OS=Rattus norvegicus OX=10116 GN=Zbtb38 PE=2 SV=1,3,2,3,2,1,1203,135.2,8.41,4.57,2,Oxidation [P608; P613; K834]
Q9QXY2,SRC kinase signaling inhibitor 1 OS=Rattus norvegicus OX=10116 GN=Srcin1 PE=1 SV=1,3,2,3,2,1,1197,129.7,9.36,4.48,2,Oxidation [P411; P518; P522; P523]
Q9JHW1,Carboxypeptidase D OS=Rattus norvegicus OX=10116 GN=Cpd PE=1 SV=2,3,2,3,2,1,1378,152.5,6.09,4.48,2,Oxidation [K974; P975]
Q6GVH5,Gametogenetin-binding protein 2 OS=Rattus norvegicus OX=10116 GN=Ggnbp2 PE=2 SV=1,4,2,3,2,1,696,79,6.52,4.46,2,Oxidation [P277]
P54708,Potassium-transporting ATPase alpha chain 2 OS=Rattus norvegicus OX=10116 GN=Atp12a PE=1 SV=1,3,2,3,2,1,1036,114.9,6.57,4.38,2,Oxidation [P90; P95; P96; K97; P606; P607; P612]
P10960,Prosaposin OS=Rattus norvegicus OX=10116 GN=Psap PE=1 SV=1,6,2,3,2,1,554,61.1,5.25,4.37,2,Oxidation [P414; K416]
P09951,Synapsin-1 OS=Rattus norvegicus OX=10116 GN=Syn1 PE=1 SV=3,4,2,3,1,1,704,73.9,9.8,4.34,2,Oxidation [P18; P465; P466]
P51774,E3 SUMO-protein ligase EGR2 OS=Rattus norvegicus OX=10116 GN=Egr2 PE=2 SV=2,9,2,3,2,1,470,49.8,8.78,4.26,2,Oxidation [P209; P211]
Q5XI53,CDK2-associated and cullin domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Cacul1 PE=2 SV=1,7,2,3,2,1,347,38.8,5.25,4.25,2,Oxidation [P146; K147]
Q63198,Contactin-1 OS=Rattus norvegicus OX=10116 GN=Cntn1 PE=1 SV=2,2,2,3,2,1,1021,113.4,6.11,3.9,2,Oxidation [K357; P358]
Q6W3B0,Desmoglein-4 OS=Rattus norvegicus OX=10116 GN=Dsg4 PE=1 SV=1,1,2,3,2,1,1040,114.3,4.72,3.88,2,Oxidation [P324; K325; K332]
Q923K1,Taste receptor type 1 member 3 OS=Rattus norvegicus OX=10116 GN=Tas1r3 PE=2 SV=1,3,2,3,2,1,858,94.8,6.81,3.85,2,Oxidation [P163]
P53813,Vitamin K-dependent protein S OS=Rattus norvegicus OX=10116 GN=Pros1 PE=2 SV=1,4,2,3,2,1,675,74.6,5.48,3.57,2,Oxidation [P221; P229]
O54747,DNA polymerase delta catalytic subunit OS=Rattus norvegicus OX=10116 GN=Pold1 PE=2 SV=1,2,2,3,2,1,1103,123.5,7.4,3.38,2,Oxidation [P57; P58]
P10959,Carboxylesterase 1C OS=Rattus norvegicus OX=10116 GN=Ces1c PE=1 SV=3,4,2,3,2,1,549,60.1,5.73,3.34,2,Oxidation [P124; P315; K316]
Q68FR8,Tubulin alpha-3 chain OS=Rattus norvegicus OX=10116 GN=Tuba3b PE=2 SV=1,8,2,2,2,1,450,49.9,5.1,6.76,2,
P68370,Tubulin alpha-1A chain OS=Rattus norvegicus OX=10116 GN=Tuba1a PE=1 SV=1,8,2,2,2,1,451,50.1,5.06,6.76,2,
Q5M9G3,Caprin-1 OS=Rattus norvegicus OX=10116 GN=Caprin1 PE=1 SV=2,8,2,2,2,1,707,78.1,5.25,6.29,2,Oxidation [P422; P425; P431; P483; K497]
Q9Z1P2,Alpha-actinin-1 OS=Rattus norvegicus OX=10116 GN=Actn1 PE=1 SV=1,3,2,2,0,0,892,102.9,5.38,5.79,2,
P16443,D site-binding protein OS=Rattus norvegicus OX=10116 GN=Dbp PE=1 SV=2,21,2,2,2,1,325,34.4,9.42,5.76,2,Oxidation [P66; P73; P77; P152; P154]
O88453,Scaffold attachment factor B1 OS=Rattus norvegicus OX=10116 GN=Safb PE=1 SV=2,4,2,2,2,1,931,104.5,5.35,5.75,2,Oxidation [P319; P323]
Q7TNY7,Rab effector MyRIP OS=Rattus norvegicus OX=10116 GN=Myrip PE=1 SV=1,6,2,2,2,1,856,94.9,6.21,5.74,2,Oxidation [P442]
Q8CGU4,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2 OS=Rattus norvegicus OX=10116 GN=Agap2 PE=1 SV=1",2,2,2,2,1,1186,124.4,9.86,5.5,2,Oxidation [P577; P580; P588]
Q5M948,TATA box-binding protein-associated factor RNA polymerase I subunit D OS=Rattus norvegicus OX=10116 GN=Taf1d PE=2 SV=1,18,2,2,2,1,285,32.6,9.25,5.49,2,Oxidation [P48; P204; P208; P217]
P62632,Elongation factor 1-alpha 2 OS=Rattus norvegicus OX=10116 GN=Eef1a2 PE=1 SV=1,5,2,2,1,1,463,50.4,9.03,5.46,2,
Q9JJ50,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Rattus norvegicus OX=10116 GN=Hgs PE=1 SV=1,7,2,2,2,1,776,86.2,6.25,5.45,2,Oxidation [P641; P647; P653]
Q9R044,Nephrin OS=Rattus norvegicus OX=10116 GN=Nphs1 PE=1 SV=2,3,2,2,2,1,1252,136.2,5.91,5.41,2,Oxidation [K1041; P1050; P1056]
Q5XHX2,Taperin OS=Rattus norvegicus OX=10116 GN=Tprn PE=1 SV=2,6,2,2,2,1,753,80.2,6.2,5.4,2,Oxidation [P267; P275; P276; P729]
P18163,Long-chain-fatty-acid--CoA ligase 1 OS=Rattus norvegicus OX=10116 GN=Acsl1 PE=1 SV=1,5,2,2,2,1,699,78.1,6.99,5.39,2,Oxidation [P53; P54]
Q920G0,Src kinase-associated phosphoprotein 2 OS=Rattus norvegicus OX=10116 GN=Skap2 PE=1 SV=1,11,2,2,0,0,358,40.7,4.65,5.38,2,Oxidation [K274]
Q767I8,Protocadherin alpha-4 OS=Rattus norvegicus OX=10116 GN=Pcdha4 PE=2 SV=1,3,2,2,2,1,947,103,5,5.37,2,Oxidation [P568]
P32182,Hepatocyte nuclear factor 3-beta OS=Rattus norvegicus OX=10116 GN=Foxa2 PE=1 SV=1,14,2,2,2,1,458,48.5,8.46,5.36,2,Oxidation [P104; P108; P298; P304; P310]
F2Z3T4,Muscleblind-like protein 2 OS=Rattus norvegicus OX=10116 GN=Mbnl2 PE=1 SV=1,12,2,2,2,1,373,40.1,9,5.34,2,Oxidation [P290; P295]
Q5ZQU0,"Sushi, nidogen and EGF-like domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Sned1 PE=2 SV=2",3,2,2,2,1,1403,151.3,6.51,5.31,2,Oxidation [P420; P430; P432; P1240; P1243; P1244]
Q9QXU8,Cytoplasmic dynein 1 light intermediate chain 1 OS=Rattus norvegicus OX=10116 GN=Dync1li1 PE=1 SV=1,10,2,2,2,1,523,56.8,6.57,5.3,2,Oxidation [P424; P432; P480; P481]
Q80X08,WASH complex subunit 2 OS=Rattus norvegicus OX=10116 GN=Washc2 PE=1 SV=1,3,2,2,2,1,1328,145.1,4.77,5.3,2,Oxidation [P763]
Q63734,Potassium voltage-gated channel subfamily C member 4 OS=Rattus norvegicus OX=10116 GN=Kcnc4 PE=1 SV=1,5,2,2,2,1,625,68.4,6.92,5.3,2,Oxidation [P68; P74]
Q9EPH2,MARCKS-related protein OS=Rattus norvegicus OX=10116 GN=Marcksl1 PE=2 SV=3,41,2,2,2,1,199,19.8,4.65,5.28,2,Oxidation [P49; P184; P187]
G3V928,Prolow-density lipoprotein receptor-related protein 1 OS=Rattus norvegicus OX=10116 GN=Lrp1 PE=1 SV=1,1,2,2,2,1,4545,504.6,5.36,5.28,2,Oxidation [P1201; P2462; P2465; P2482]
Q76M68,IQ motif and SEC7 domain-containing protein 3 OS=Rattus norvegicus OX=10116 GN=Iqsec3 PE=1 SV=1,4,2,2,2,1,1194,128.9,6.21,5.21,2,Oxidation [P769; P1063]
F1M3G7,A-kinase anchor protein 13 OS=Rattus norvegicus OX=10116 GN=Akap13 PE=1 SV=2,1,2,2,2,1,2760,301.2,5.47,5.2,2,Oxidation [P464; P2255]
Q03061,cAMP-responsive element modulator OS=Rattus norvegicus OX=10116 GN=Crem PE=1 SV=2,17,2,2,2,1,357,38.5,6.65,5.19,2,Oxidation [P162; P215; P216; P217]
B1H268,Mini-chromosome maintenance complex-binding protein OS=Rattus norvegicus OX=10116 GN=Mcmbp PE=2 SV=1,4,2,2,2,1,642,73,5.87,5.19,2,Oxidation [P284]
Q62656,Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1 PE=1 SV=1,2,2,2,2,1,2316,255.2,4.88,5.17,2,Oxidation [P315; P1600]
Q99P84,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 OS=Rattus norvegicus OX=10116 GN=Plce1 PE=1 SV=1",1,2,2,2,1,2281,255.2,6.42,5.16,2,
P25304,Agrin OS=Rattus norvegicus OX=10116 GN=Agrn PE=1 SV=2,3,2,2,2,1,1959,208.5,6.15,5.16,2,Oxidation [P793; P1707; P1712]
P20817,Cytochrome P450 4A14 OS=Rattus norvegicus OX=10116 GN=Cyp4a14 PE=1 SV=2,6,2,2,2,1,507,58.2,9.09,5.15,2,Oxidation [K157; P397]
Q4V7A6,PHD finger protein 10 OS=Rattus norvegicus OX=10116 GN=Phf10 PE=1 SV=2,10,2,2,2,1,497,55.8,6.68,5.14,2,Oxidation [P409]
Q00918,Latent-transforming growth factor beta-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Ltbp1 PE=1 SV=1,3,2,2,2,1,1712,186.5,5.97,5.13,2,Oxidation [P795; P796; P801]
P35565,Calnexin OS=Rattus norvegicus OX=10116 GN=Canx PE=1 SV=1,4,2,2,2,1,591,67.2,4.63,5.1,2,Oxidation [P269; P270; P273; P386; P387; P392]
Q6P6V7,TRPM8 channel-associated factor 3 OS=Rattus norvegicus OX=10116 GN=Tcaf3 PE=2 SV=1,4,2,2,2,1,914,102,6.84,5.1,2,Oxidation [P89; P117; P119]
Q02485,Voltage-dependent L-type calcium channel subunit alpha-1S OS=Rattus norvegicus OX=10116 GN=Cacna1s PE=1 SV=2,2,2,2,2,1,1850,210.3,6.48,5.07,2,Oxidation [P1568]
A0A0G2JV04,ADP-ribosylation factor-binding protein GGA3 OS=Rattus norvegicus OX=10116 GN=Gga3 PE=1 SV=1,8,2,2,2,1,727,78.7,5.45,5.07,2,Oxidation [P335; P471]
P38918,Aflatoxin B1 aldehyde reductase member 3 OS=Rattus norvegicus OX=10116 GN=Akr7a3 PE=1 SV=2,10,2,2,2,1,327,36.7,7.24,5.06,2,Oxidation [P116]
Q9Z301,Period circadian protein homolog 2 OS=Rattus norvegicus OX=10116 GN=Per2 PE=1 SV=1,2,2,2,2,1,1257,135.9,6.2,5.06,2,Oxidation [P453; P455; P566]
G3V9T7,ATPase Get3 OS=Rattus norvegicus OX=10116 GN=Get3 PE=1 SV=1,5,2,2,2,1,348,38.8,4.91,5.05,2,
P16086,"Spectrin alpha chain, non-erythrocytic 1 OS=Rattus norvegicus OX=10116 GN=Sptan1 PE=1 SV=2",2,2,2,2,1,2472,284.5,5.33,5.05,2,Oxidation [P962; K2249]
P56741,"Myosin-binding protein C, cardiac-type OS=Rattus norvegicus OX=10116 GN=Mybpc3 PE=1 SV=2",3,2,2,2,1,1274,140.7,6.54,5.01,2,Oxidation [P97; P99; P100; K692; P697]
Q6X936,Kin of IRRE-like protein 1 OS=Rattus norvegicus OX=10116 GN=Kirrel1 PE=1 SV=2,4,2,2,2,1,789,87.2,6.25,5,2,Oxidation [P697; P699; P702]
P10164,Acidic proline-rich protein PRP25 (Fragment) OS=Rattus norvegicus OX=10116 PE=2 SV=1,38,2,2,2,1,172,17.4,10.13,4.99,2,Oxidation [P58]
P55146,Tyrosine-protein kinase receptor TYRO3 OS=Rattus norvegicus OX=10116 GN=Tyro3 PE=1 SV=1,5,2,2,2,1,880,95.9,5.78,4.97,2,
F1LPQ2,Activating signal cointegrator 1 complex subunit 3 OS=Rattus norvegicus OX=10116 GN=Ascc3 PE=3 SV=1,2,2,2,2,1,2197,250.1,6.83,4.97,2,
P37377,Alpha-synuclein OS=Rattus norvegicus OX=10116 GN=Snca PE=1 SV=1,35,2,2,2,1,140,14.5,4.77,4.96,2,
Q9JJ09,Sodium-dependent phosphate transport protein 2B OS=Rattus norvegicus OX=10116 GN=Slc34a2 PE=1 SV=1,6,2,2,2,1,695,75.9,7.58,4.95,2,Oxidation [K16; K31]
Q9JIR4,Regulating synaptic membrane exocytosis protein 1 OS=Rattus norvegicus OX=10116 GN=Rims1 PE=1 SV=1,2,2,2,2,1,1615,179.5,9.58,4.95,2,Oxidation [P94; P1408]
F1MAB7,Diacylglycerol kinase iota OS=Rattus norvegicus OX=10116 GN=Dgki PE=1 SV=1,2,2,2,2,1,1050,115.8,7.85,4.92,2,Oxidation [P325; P712; P716]
A1A5Q0,Leiomodin-2 OS=Rattus norvegicus OX=10116 GN=Lmod2 PE=1 SV=1,5,2,2,2,1,549,61.7,5.82,4.9,2,Oxidation [K213; P217]
O08949,Transcription initiation factor IIA subunit 1 OS=Rattus norvegicus OX=10116 GN=Gtf2a1 PE=1 SV=1,14,2,2,2,1,377,41.5,4.55,4.9,2,Oxidation [P314]
Q9JIK1,Cadherin-related family member 5 OS=Rattus norvegicus OX=10116 GN=Cdhr5 PE=1 SV=1,5,2,2,2,1,862,90.9,4.83,4.89,2,Oxidation [P125; P520; P523; P527]
Q99PD6,Transforming growth factor beta-1-induced transcript 1 protein OS=Rattus norvegicus OX=10116 GN=Tgfb1i1 PE=1 SV=2,6,2,2,2,1,461,50.1,6.92,4.89,2,Oxidation [P175; P179; P180; P187; P193; P195]
P31721,Complement C1q subcomponent subunit B OS=Rattus norvegicus OX=10116 GN=C1qb PE=1 SV=2,18,2,2,2,1,253,26.6,9,4.89,2,Oxidation [P39; P42; P84; P89]
Q8VHU4,Elongator complex protein 1 OS=Rattus norvegicus OX=10116 GN=Elp1 PE=2 SV=1,3,2,2,2,1,1331,149.1,6.39,4.88,2,Oxidation [P799; P810; P1110]
Q6RVG2,Electroneutral sodium bicarbonate exchanger 1 OS=Rattus norvegicus OX=10116 GN=Slc4a8 PE=1 SV=1,3,2,2,1,1,1067,119.5,6.51,4.88,2,Oxidation [P248; K789]
P23348,Anion exchange protein 3 OS=Rattus norvegicus OX=10116 GN=Slc4a3 PE=1 SV=1,3,2,2,2,1,1227,135.3,6.51,4.86,2,Oxidation [P885]
Q5RLM2,Solute carrier family 22 member 7 OS=Rattus norvegicus OX=10116 GN=Slc22a7 PE=1 SV=1,7,2,2,2,1,535,58.6,6.84,4.85,2,Oxidation [P45; P52]
Q9ERC1,Unconventional myosin-XVI OS=Rattus norvegicus OX=10116 GN=Myo16 PE=1 SV=1,1,2,2,2,1,1912,210.6,6.76,4.84,2,Oxidation [P1512; P1514; P1519; P1668]
Q63679,Lysine-specific demethylase 3A OS=Rattus norvegicus OX=10116 GN=Kdm3a PE=2 SV=1,3,2,2,2,1,1214,135.3,8,4.84,2,Oxidation [P195; P841]
P10686,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 OS=Rattus norvegicus OX=10116 GN=Plcg1 PE=1 SV=1",3,2,2,2,1,1290,148.5,5.96,4.82,2,Oxidation [P17]
Q9Z1W6,Protein LYRIC OS=Rattus norvegicus OX=10116 GN=Mtdh PE=1 SV=2,7,2,2,2,1,581,63.9,9.29,4.81,2,Oxidation [P102]
P15127,Insulin receptor OS=Rattus norvegicus OX=10116 GN=Insr PE=1 SV=1,3,2,2,2,1,1383,156.7,5.97,4.8,2,
Q63014,A-kinase anchor protein 8 OS=Rattus norvegicus OX=10116 GN=Akap8 PE=1 SV=1,6,2,2,2,1,687,76.1,5.14,4.79,2,Oxidation [P653; K682; P685]
Q62924,A-kinase anchor protein 11 OS=Rattus norvegicus OX=10116 GN=Akap11 PE=1 SV=1,3,2,2,2,1,1129,124.4,6.13,4.78,2,Oxidation [P124; P446]
A2RUW0,Maestro heat-like repeat-containing protein family member 7 OS=Rattus norvegicus OX=10116 GN=Mroh7 PE=1 SV=1,3,2,2,2,1,1122,123.8,6.81,4.76,2,Oxidation [P510; P512]
Q566R4,Leucine repeat adapter protein 25 OS=Rattus norvegicus OX=10116 GN=Fam89b PE=1 SV=1,19,2,2,2,1,189,20.2,5.19,4.76,2,Oxidation [P146]
P23347,Anion exchange protein 2 OS=Rattus norvegicus OX=10116 GN=Slc4a2 PE=1 SV=1,3,2,2,2,1,1234,136.6,6.1,4.75,2,Oxidation [P1216]
Q63046,Runt-related transcription factor 1 OS=Rattus norvegicus OX=10116 GN=Runx1 PE=1 SV=1,9,2,2,2,1,450,48.5,9.35,4.75,2,Oxidation [P273; P276; P418]
D3ZLH5,Plexin-B3 OS=Rattus norvegicus OX=10116 GN=Plxnb3 PE=1 SV=1,3,2,2,2,1,1902,208.4,5.95,4.73,2,Oxidation [P894; P903; P904]
P22717,Guanylate cyclase soluble subunit beta-2 OS=Rattus norvegicus OX=10116 GN=Gucy1b2 PE=2 SV=1,4,2,2,2,1,682,76.1,7.15,4.73,2,Oxidation [P595; P598]
P23385,Metabotropic glutamate receptor 1 OS=Rattus norvegicus OX=10116 GN=Grm1 PE=1 SV=1,3,2,2,2,1,1199,133.2,6.9,4.72,2,Oxidation [P1053; P1062; P1065; P1144]
P53565,Homeobox protein cut-like 1 OS=Rattus norvegicus OX=10116 GN=Cux1 PE=1 SV=2,3,2,2,2,1,1504,164.4,6.07,4.72,2,Oxidation [P1031; P1039; P1041]
P51639,3-hydroxy-3-methylglutaryl-coenzyme A reductase OS=Rattus norvegicus OX=10116 GN=Hmgcr PE=1 SV=2,3,2,2,2,1,887,96.6,6.8,4.71,2,
P19814,Trans-Golgi network integral membrane protein TGN38 OS=Rattus norvegicus OX=10116 GN=Ttgn1 PE=1 SV=1,11,2,2,2,1,357,38.3,5.15,4.71,2,Oxidation [K172]
P97839,Disks large-associated protein 4 OS=Rattus norvegicus OX=10116 GN=Dlgap4 PE=1 SV=1,3,2,2,2,1,992,108,7.11,4.7,2,Oxidation [P431]
P23928,Alpha-crystallin B chain OS=Rattus norvegicus OX=10116 GN=Cryab PE=1 SV=1,13,2,2,2,1,175,20.1,7.33,4.7,2,Oxidation [K150; P155]
Q9Z0Y8,Voltage-dependent T-type calcium channel subunit alpha-1I OS=Rattus norvegicus OX=10116 GN=Cacna1i PE=1 SV=3,2,2,2,1,1,2201,243.5,6.61,4.7,2,Oxidation [K2198]
Q5U2N3,Membrane-associated phosphatidylinositol transfer protein 1 OS=Rattus norvegicus OX=10116 GN=Pitpnm1 PE=1 SV=1,4,2,2,2,1,1242,134.9,5.96,4.69,2,Oxidation [P288; P291]
Q99NA5,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh3a PE=1 SV=1",8,2,2,2,1,366,39.6,6.92,4.68,2,Oxidation [P44]
P17325,Transcription factor Jun OS=Rattus norvegicus OX=10116 GN=Jun PE=1 SV=1,13,2,2,2,1,334,36,8.75,4.67,2,Oxidation [P92; P247]
P69526,Transmembrane protease serine 9 OS=Rattus norvegicus OX=10116 GN=Tmprss9 PE=3 SV=1,3,2,2,2,1,1061,113.8,7.91,4.67,2,Oxidation [K627; K643]
Q5K2P9,Polyserase-2 OS=Rattus norvegicus OX=10116 GN=Prss36 PE=2 SV=1,4,2,2,2,1,875,94.4,6.14,4.67,2,Oxidation [P720; P848]
Q5BJN8,Replication stress response regulator SDE2 OS=Rattus norvegicus OX=10116 GN=Sde2 PE=1 SV=2,8,2,2,2,1,448,48.1,5.55,4.67,2,Oxidation [K123]
Q63347,26S proteasome regulatory subunit 7 OS=Rattus norvegicus OX=10116 GN=Psmc2 PE=1 SV=3,5,2,2,2,1,433,48.5,5.8,4.67,2,
P85107,Trimethylguanosine synthase OS=Rattus norvegicus OX=10116 GN=Tgs1 PE=1 SV=1,2,2,2,2,1,850,96,5.05,4.66,2,
D3ZFJ3,SH3 domain-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Sh3bp1 PE=1 SV=1,7,2,2,2,1,689,74.8,6.6,4.66,2,Oxidation [P588; P594; P597]
P85125,Caveolae-associated protein 1 OS=Rattus norvegicus OX=10116 GN=Cavin1 PE=1 SV=1,11,2,2,2,1,392,43.9,5.52,4.65,2,Oxidation [P26; K183]
O35819,Krueppel-like factor 6 OS=Rattus norvegicus OX=10116 GN=Klf6 PE=2 SV=2,15,2,2,2,1,283,31.8,6.79,4.65,2,Oxidation [P129; P148; P166]
O35430,Amyloid-beta A4 precursor protein-binding family A member 1 OS=Rattus norvegicus OX=10116 GN=Apba1 PE=1 SV=1,4,2,2,2,1,839,92.6,4.88,4.65,2,Oxidation [P45; P50]
Q5XIJ4,Protein FAM210A OS=Rattus norvegicus OX=10116 GN=Fam210a PE=2 SV=1,8,2,2,0,0,273,31.5,9.82,4.65,2,Oxidation [P76; P226; P227; P228]
O08679,Serine/threonine-protein kinase MARK2 OS=Rattus norvegicus OX=10116 GN=Mark2 PE=1 SV=1,4,2,2,2,1,722,80.8,9.61,4.65,2,Oxidation [P414; K424; K425]
Q9JJ79,Cytoplasmic dynein 2 heavy chain 1 OS=Rattus norvegicus OX=10116 GN=Dync2h1 PE=1 SV=1,1,2,2,2,1,4306,491.9,6.65,4.65,2,Oxidation [K1041; P3200]
Q63537,Synapsin-2 OS=Rattus norvegicus OX=10116 GN=Syn2 PE=1 SV=1,6,2,2,1,1,586,63.4,8.57,4.64,2,Oxidation [P19; P61; P62]
P98158,Low-density lipoprotein receptor-related protein 2 OS=Rattus norvegicus OX=10116 GN=Lrp2 PE=1 SV=1,1,2,2,2,1,4660,518.9,5.24,4.64,2,Oxidation [P1729; P3999; K4004]
P98089,Intestinal mucin-like protein (Fragment) OS=Rattus norvegicus OX=10116 PE=2 SV=1,5,2,2,2,1,837,91.4,5.63,4.63,2,Oxidation [P219; P726; K748]
